id_fornecedor,razao_social,cnpj,categoria,cidade,estado,telefone,email,status_cadastro,data_cadastro,avaliacao_desempenho
FORN-0001,Abreu Manutencao,45.350.328/0001-27,Revestimentos e Isolamentos,Lagoa das Águas,BA,(13) 98935-2424,abreu.manutencao@empresa.com.br,Ativo,2018-05-11,5.1
FORN-0002,Abreu Manutencao do Brasil,74.716.127/0001-81,Serviços de Engenharia,Vila da Colina,RJ,(82) 96873-4611,abreu.manutencao.do.brasil@empresa.com.br,Ativo,2021-02-13,9.0
FORN-0003,Albuquerque Equipamentos,99.532.448/0001-45,Materiais de Consumo,Lagoa do Sul,SP,(21) 95514-2674,albuquerque.equipamentos@empresa.com.br,Ativo,2019-02-01,6.8
FORN-0004,Almeida Soldagem & Cia,43.926.144/0001-68,Construção e Montagem,Recanto Geraldo,PE,(13) 96201-2291,almeida.soldagem.e.cia@empresa.com.br,Ativo,2022-01-21,7.9
FORN-0005,Alves Engenharia Ltda,94.333.891/0001-47,Equipamentos e Peças,Lagoa das Águas,BA,(21) 91654-7227,alves.engenharia.ltda@empresa.com.br,Ativo,2022-02-03,5.8
FORN-0006,Andrade Dias,95.373.818/0001-97,Serviços de Calibração,Córrego Fagundes,PE,(13) 99980-3803,andrade.dias@empresa.com.br,Ativo,2020-09-29,5.8
FORN-0007,Aparecida Mecanica do Brasil,91.804.670/0001-38,Serviços de Calibração,Várzea Bonita,MG,(41) 90916-4752,aparecida.mecanica.do.brasil@empresa.com.br,Inativo,2021-07-16,7.0
FORN-0008,Aragão & Cia,82.997.835/0001-50,Serviços de Engenharia,Campo Raimundo,BA,(71) 96482-8517,aragão.e.cia@empresa.com.br,Ativo,2019-07-26,6.2
FORN-0009,Aragão Mecanica,84.538.697/0001-61,Serviços de Inspeção e Ensaios,Nova da Mata,SC,(21) 92266-9348,aragão.mecanica@empresa.com.br,Ativo,2018-07-12,9.3
FORN-0010,Araújo Manutencao,97.532.710/0001-18,Produtos Químicos e Catalisadores,Santa Grande,RS,(51) 99763-8668,araújo.manutencao@empresa.com.br,Ativo,2024-03-16,9.3
FORN-0011,Araújo Moraes Automacao,24.798.649/0001-44,Serviços de Calibração,Nova Tibério,SP,(41) 91827-5808,araújo.moraes.automacao@empresa.com.br,Ativo,2023-02-02,5.0
FORN-0012,Araújo da Costa Equipamentos Ltda,74.208.991/0001-90,Transporte e Logística,Arlindo do Sul,AL,(82) 99977-4258,araújo.da.costa.equipamentos.l@empresa.com.br,Ativo,2019-10-24,7.7
FORN-0013,Azevedo Equipamentos & Cia,86.431.600/0001-12,Equipamentos e Peças,Barra das Águas,SC,(41) 95038-4923,azevedo.equipamentos.e.cia@empresa.com.br,Ativo,2024-05-12,9.7
FORN-0014,Azevedo Isolamentos S.A.,18.878.645/0001-26,Materiais de Consumo,Baltazar do Cerrado,BA,(71) 99007-3705,azevedo.isolamentos.s.a.@empresa.com.br,Ativo,2024-10-20,7.1
FORN-0015,Azevedo Peixoto Servicos & Cia,49.508.787/0001-93,Serviços de Inspeção e Ensaios,Vila da Colina,RJ,(71) 98479-8397,azevedo.peixoto.servicos.e.cia@empresa.com.br,Ativo,2020-07-09,5.3
FORN-0016,Barbosa Macedo,80.335.702/0001-38,Serviços de Manutenção Industrial,Fagundes Verde,SP,(13) 90964-4750,barbosa.macedo@empresa.com.br,Ativo,2018-05-09,9.3
FORN-0017,Barros Ltda,45.785.597/0001-37,Construção e Montagem,Campo Raimundo,BA,(19) 99355-8744,barros.ltda@empresa.com.br,Ativo,2023-04-22,9.0
FORN-0018,Borges S.A.,22.774.541/0001-55,Produtos Químicos e Catalisadores,Lagoa Branca,RJ,(51) 97651-1887,borges.s.a.@empresa.com.br,Ativo,2019-02-08,5.3
FORN-0019,Brito Brito Instrumentacao,41.296.294/0001-78,Instrumentação e Automação,Córrego Fagundes,PE,(19) 96912-4006,brito.brito.instrumentacao@empresa.com.br,Ativo,2020-10-20,9.4
FORN-0020,Brito Garcia Inspecao S.A.,80.200.151/0001-93,Construção e Montagem,Baltazar do Cerrado,BA,(11) 91528-4872,brito.garcia.inspecao.s.a.@empresa.com.br,Ativo,2023-06-13,7.4
FORN-0021,Caldeira Soldagem Industrial,31.488.102/0001-59,Transporte e Logística,Nova Joaquim,MG,(71) 94673-7930,caldeira.soldagem.industrial@empresa.com.br,Ativo,2024-03-26,8.3
FORN-0022,Camargo Inspecao S.A.,34.403.322/0001-17,Serviços Ambientais,Ribeirão das Águas,PR,(82) 90998-6138,camargo.inspecao.s.a.@empresa.com.br,Ativo,2024-07-20,7.4
FORN-0023,Campos Tubulacoes,17.620.182/0001-33,Equipamentos e Peças,Barra das Águas,SC,(81) 91113-4853,campos.tubulacoes@empresa.com.br,Ativo,2024-05-22,6.2
FORN-0024,Cardoso Ribeiro Logistica Industrial,89.183.529/0001-94,Serviços Ambientais,Ponta Aparecida,MT,(81) 98565-6183,cardoso.ribeiro.logistica.indu@empresa.com.br,Inativo,2020-04-16,8.3
FORN-0025,Carvalho Instrumentacao,43.505.234/0001-95,Serviços de Calibração,Córrego Fagundes,PE,(31) 97491-6180,carvalho.instrumentacao@empresa.com.br,Inativo,2018-10-25,5.0
FORN-0026,Carvalho Moraes Engenharia do Brasil,19.650.318/0001-74,Transporte e Logística,Ponta Aparecida,MT,(19) 95718-2127,carvalho.moraes.engenharia.do.@empresa.com.br,Inativo,2022-02-22,6.4
FORN-0027,Carvalho Sousa Servicos,48.726.926/0001-93,Construção e Montagem,Tibério do Sul,PR,(11) 99086-5905,carvalho.sousa.servicos@empresa.com.br,Inativo,2019-03-01,9.7
FORN-0028,Casa Grande Instrumentacao,24.209.860/0001-80,Materiais de Consumo,Cachoeira do Rio,RS,(31) 94616-4450,casa.grande.instrumentacao@empresa.com.br,Ativo,2020-04-13,8.4
FORN-0029,Cassiano Calibracao & Cia,42.966.152/0001-21,Serviços de Calibração,Morro Joaquim,AL,(51) 94533-1722,cassiano.calibracao.e.cia@empresa.com.br,Ativo,2019-06-20,8.2
FORN-0030,Cassiano Equipamentos,66.664.822/0001-64,Construção e Montagem,Arlindo do Sul,AL,(11) 91832-2232,cassiano.equipamentos@empresa.com.br,Inativo,2019-09-03,7.7
