id_ordem,numero_ordem,id_contrato,id_fornecedor,tipo_ordem,descricao,valor_ordem,data_emissao,data_prevista_conclusao,data_conclusao,status,prioridade,unidade_industrial,area_solicitante
OS-00001,OS-2022-97320,CTR-00072,FORN-0009,Fornecimento,Atendimento emergencial - Projetos e Expansão,753482.57,2022-06-28,2022-08-12,,Em Andamento,Crítica,Unidade Industrial Ribeirão das Águas,Projetos e Expansão
OS-00002,OS-2024-62412,CTR-00491,FORN-0099,Emergencial,Atendimento emergencial - Automação e Instrumentação,436444.27,2024-10-08,2024-11-22,,Em Andamento,Média,Unidade Industrial Várzea Arlindo,Automação e Instrumentação
OS-00003,OS-2023-40999,CTR-00216,FORN-0098,Serviço,Fornecimento parcial conforme contrato CT-2023-00216,11009.62,2023-06-11,2023-06-18,2023-06-17,Concluída,Alta,Polo Petroquímico de Santa Grande,Manutenção Industrial
OS-00004,OS-2024-90951,CTR-00015,FORN-0009,Fornecimento,Medição mensal #4 - Contratação de Serviços de Inspeção,139194.17,2024-10-16,2024-11-30,2024-12-08,Concluída,Média,Polo Petroquímico de Lagoa das Águas,Engenharia de Processos
OS-00005,OS-2024-66250,CTR-00464,FORN-0009,Fornecimento,Atendimento emergencial - Logística e Suprimentos,78344.31,2024-12-26,2025-01-02,,Cancelada,Crítica,Unidade Industrial Ribeirão das Águas,Logística e Suprimentos
OS-00006,OS-2021-92432,CTR-00203,FORN-0044,Fornecimento,Mobilização de equipe para contratação de serviços de manutenção na Polo Petroquímico de Santa Grande,711028.13,2021-01-26,2021-04-26,,Em Andamento,Baixa,Polo Petroquímico de Santa Grande,Planejamento e Controle de Manutenção (PCM)
OS-00007,OS-2023-90801,CTR-00254,FORN-0008,Fornecimento,Execução de serviços de andaime e acesso para paradas programadas de man - Etapa 4,29431.7,2023-07-07,2023-07-14,2023-07-16,Concluída,Baixa,Unidade Lagoa Branca,Manutenção Industrial
OS-00008,OS-2023-65846,CTR-00690,FORN-0019,Manutenção Preventiva,Execução de projeto e instalação de sistema de automação para planta de  - Etapa 2,280906.8,2023-04-25,2023-06-24,2023-07-24,Concluída,Alta,Polo Petroquímico de Santa Grande,Logística e Suprimentos
OS-00009,OS-2025-64797,CTR-00768,FORN-0056,Fornecimento,Fornecimento parcial conforme contrato CT-2024-00768,25262.82,2025-03-20,2025-03-27,2025-03-24,Concluída,Baixa,Polo Petroquímico de Santa Grande,Logística e Suprimentos
OS-00010,OS-2020-89498,CTR-00328,FORN-0056,Serviço,Atendimento emergencial - Utilidades e Energia,531769.71,2020-11-20,2020-11-27,2020-12-07,Concluída,Média,Unidade Industrial Várzea Arlindo,Utilidades e Energia
OS-00011,OS-2022-82321,CTR-00469,FORN-0085,Fornecimento,Fornecimento parcial conforme contrato CT-2022-00469,124974.65,2022-09-28,2022-10-28,2022-11-06,Concluída,Média,Polo Petroquímico de Fagundes Verde,Manutenção Industrial
OS-00012,OS-2026-86588,CTR-00658,FORN-0039,Manutenção Preventiva,Execução de manutenção de sistemas elétricos e subestações de média tens - Etapa 3,376381.33,2026-01-21,2026-03-22,,Em Andamento,Baixa,Unidade Industrial Várzea Arlindo,Engenharia de Processos
OS-00013,OS-2024-34960,CTR-00251,FORN-0032,Fornecimento,Atendimento emergencial - Operações de Planta,146360.13,2024-02-10,2024-05-10,,Em Andamento,Baixa,Polo Petroquímico de Lagoa das Águas,Operações de Planta
OS-00014,OS-2021-30142,CTR-00148,FORN-0069,Serviço,Mobilização de equipe para contratação de serviços ambientais na Complexo Petroquímico de Córrego Fagundes (SUAPE),472202.07,2021-05-13,2021-07-12,2021-07-21,Concluída,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Segurança e Meio Ambiente (SMS)
OS-00015,OS-2025-92557,CTR-00754,FORN-0012,Serviço,Atendimento emergencial - Utilidades e Energia,342366.68,2025-02-20,2025-05-21,2025-06-15,Concluída,Baixa,Complexo Industrial de Monte Teodoro,Utilidades e Energia
OS-00016,OS-2026-45933,CTR-00858,FORN-0038,Fornecimento,Fornecimento parcial conforme contrato CT-2025-00858,200045.96,2026-01-20,2026-03-21,,Em Andamento,Baixa,Unidade Industrial Várzea Arlindo,Manutenção Industrial
OS-00017,OS-2025-79791,CTR-00121,FORN-0059,Emergencial,Execução de fornecimento de válvulas de controle e segurança para unidad - Etapa 4,398884.87,2025-01-10,2025-01-24,,Pendente,Média,Unidade Industrial Ribeirão das Águas,Logística e Suprimentos
OS-00018,OS-2021-45585,CTR-00786,FORN-0081,Fornecimento,Mobilização de equipe para serviços de engenharia e projetos na Complexo Petroquímico de Córrego Fagundes (SUAPE),752604.99,2021-06-26,2021-08-10,,Em Andamento,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Operações de Planta
OS-00019,OS-2021-76036,CTR-00296,FORN-0082,Emergencial,Fornecimento parcial conforme contrato CT-2021-00296,280747.0,2021-11-08,2021-11-22,,Em Andamento,Média,Polo Petroquímico de Fagundes Verde,Logística e Suprimentos
OS-00020,OS-2022-79935,CTR-00402,FORN-0079,Fornecimento,Fornecimento parcial conforme contrato CT-2022-00402,167718.55,2022-09-24,2022-12-23,2023-01-17,Concluída,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Operações de Planta
OS-00021,OS-2022-80070,CTR-00278,FORN-0012,Serviço,Execução de fornecimento de bombas centrífugas e volumétricas para proce - Etapa 2,788647.95,2022-03-20,2022-04-03,2022-03-27,Concluída,Crítica,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00022,OS-2024-27512,CTR-00636,FORN-0023,Manutenção Preventiva,Medição mensal #5 - Contratação de Transporte e Logística,10857.05,2024-11-10,2025-01-09,2025-01-19,Concluída,Média,Polo Petroquímico de Santa Grande,Projetos e Expansão
OS-00023,OS-2020-46659,CTR-00596,FORN-0057,Fornecimento,Fornecimento parcial conforme contrato CT-2020-00596,66934.46,2020-06-22,2020-09-20,,Cancelada,Baixa,Polo Petroquímico de Lagoa das Águas,Engenharia de Processos
OS-00024,OS-2022-93139,CTR-00962,FORN-0020,Emergencial,Medição mensal #11 - Serviços de Construção e Montagem,1058208.52,2022-04-09,2022-06-08,2022-06-22,Concluída,Média,Polo Petroquímico de Lagoa das Águas,Engenharia de Processos
OS-00025,OS-2024-68465,CTR-00794,FORN-0003,Fornecimento,Atendimento emergencial - Operações de Planta,533415.45,2024-12-21,2025-01-20,2025-01-23,Concluída,Média,Polo Petroquímico de Fagundes Verde,Operações de Planta
OS-00026,OS-2022-34754,CTR-00278,FORN-0012,Emergencial,Atendimento emergencial - Projetos e Expansão,279448.91,2022-07-01,2022-07-08,,Em Andamento,Crítica,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00027,OS-2021-89668,CTR-00326,FORN-0062,Fornecimento,Execução de projeto e instalação de sistema de automação para planta de  - Etapa 2,70603.27,2021-03-01,2021-03-31,2021-04-09,Concluída,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Planejamento e Controle de Manutenção (PCM)
