id_contrato,numero_contrato,id_fornecedor,tipo_contrato,descricao_escopo,valor_total,moeda,data_inicio,data_fim,status,unidade_industrial,area_responsavel,documento_contrato,procedimento_referencia
CTR-00001,CT-2023-00001,FORN-0004,Contratação de Serviços de Inspeção,Manutenção preventiva e corretiva de trocadores de calor e torres de resfriamento,204986.18,BRL,2023-04-20,2024-04-19,Ativo,Unidade Industrial Várzea Arlindo,Operações de Planta,CONTRATO_CT-2023-00001.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
CTR-00002,CT-2022-00002,FORN-0017,Serviços de Construção e Montagem,Manutenção de sistemas elétricos e subestações de média tensão,11714652.18,BRL,2022-09-02,2024-02-29,Ativo,Polo Petroquímico de Santa Grande,Engenharia de Processos,CONTRATO_CT-2022-00002.pdf,PROC-QLD-001_Controle_Qualidade_Resinas.pdf
CTR-00003,CT-2021-00003,FORN-0058,Contratação de Transporte e Logística,"Calibração de instrumentos de medição de vazão, pressão e temperatura",1965687.98,BRL,2021-09-09,2023-03-08,Ativo,Polo Petroquímico de Lagoa das Águas,Projetos e Expansão,CONTRATO_CT-2021-00003.pdf,PROC-SMS-001_Permissao_Trabalho_Quente.pdf
CTR-00004,CT-2023-00004,FORN-0062,Serviços de Construção e Montagem,"Fornecimento de juntas, gaxetas e vedações para equipamentos rotativos",1287662.59,BRL,2023-12-29,2025-06-26,Encerrado,Polo Petroquímico de Santa Grande,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2023-00004.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00005,CT-2023-00005,FORN-0078,Contratação de Serviços de Inspeção,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,4716088.33,BRL,2023-07-02,2026-07-01,Encerrado,Complexo Industrial de Monte Teodoro,Logística e Suprimentos,CONTRATO_CT-2023-00005.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00006,CT-2022-00006,FORN-0049,Serviços de Calibração e Ensaios,Manutenção de sistemas elétricos e subestações de média tensão,3487178.66,BRL,2022-11-01,2024-10-31,Ativo,Polo Petroquímico de Fagundes Verde,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2022-00006.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00007,CT-2022-00007,FORN-0084,Contratação de Transporte e Logística,"Fornecimento de gases industriais (nitrogênio, oxigênio, hidrogênio)",1300059.36,BRL,2022-07-13,2023-01-09,Em Renovação,Unidade Lagoa Branca,Utilidades e Energia,CONTRATO_CT-2022-00007.pdf,PROC-AMB-002_Monitoramento_Emissoes.pdf
CTR-00008,CT-2022-00008,FORN-0052,Serviços de Construção e Montagem,"Fornecimento de gases industriais (nitrogênio, oxigênio, hidrogênio)",10043596.37,BRL,2022-05-24,2023-05-24,Ativo,Polo Petroquímico de Santa Grande,Qualidade e Laboratório,CONTRATO_CT-2022-00008.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00009,CT-2020-00009,FORN-0088,Serviços de Automação e Instrumentação,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,844790.31,BRL,2020-07-09,2022-01-05,Encerrado,Polo Petroquímico de Santa Grande,Engenharia de Processos,CONTRATO_CT-2020-00009.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00010,CT-2022-00010,FORN-0017,Contratação de Transporte e Logística,Fornecimento de válvulas de controle e segurança para unidades de polimerização,2633461.38,BRL,2022-04-21,2023-04-21,Suspenso,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2022-00010.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00011,CT-2020-00011,FORN-0093,Contratação de Serviços de Manutenção,Manutenção de compressores e sistemas de refrigeração industrial,4098707.37,BRL,2020-07-31,2022-07-31,Em Renovação,Polo Petroquímico de Fagundes Verde,Qualidade e Laboratório,CONTRATO_CT-2020-00011.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
CTR-00012,CT-2024-00012,FORN-0029,Fornecimento de Materiais e Equipamentos,Isolamento térmico de tubulações de vapor e linhas de processo,2891795.02,BRL,2024-04-10,2025-04-10,Suspenso,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2024-00012.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00013,CT-2025-00013,FORN-0072,Serviços de Calibração e Ensaios,Serviços de andaime e acesso para paradas programadas de manutenção,6649329.46,BRL,2025-03-17,2028-03-16,Ativo,Polo Petroquímico de Lagoa das Águas,Automação e Instrumentação,CONTRATO_CT-2025-00013.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
CTR-00014,CT-2021-00014,FORN-0024,Contratação de Serviços Ambientais,Manutenção preditiva com análise de vibração e termografia,1516732.02,BRL,2021-12-19,2022-03-19,Suspenso,Polo Petroquímico de Fagundes Verde,Qualidade e Laboratório,CONTRATO_CT-2021-00014.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
